"ID","post_title","post_type","guid"
"41876","BETIC : Rapport situation comparée F/H - 2020","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Rapport-situation-comparee-Syntec-2020_page-0001.jpg"
"41885","Toulouse, le 31 mai 2022. La lutte pour les salaires s’élargit dans le numérique / sous-traitance aéronautique","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Communique-de-presse_31_05_2022_page-0001.jpg"
"41886","Toulouse, le 31 mai 2022. La lutte pour les salaires s’élargit dans le numérique / sous-traitance aéronautique","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/596/629731d86032f.pdf"
"41890","Perspectives n°237","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/BULLETIN-DINFORMATION-CGT-N237-JUIN-2022-BE-site_page-0001.jpg"
"41891","Perspectives n°237","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/6297374914b57.pdf"
"41926","ECONOCOM : Pour de meilleurs salaires","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Resultats-economiques-Politique-salariale-2022_page-0001.jpg"
"41927","CAPGEMINI : Salaires 2022 -> Nos augmentations oubliées (2 juin 2022)","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/NAO-2021-Tract-InterOS-UES-Capgemini-n6-v4_3juinMAIL_page-0001.jpg"
"41928","ECONOCOM : Pour de meilleurs salaires","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62987f32410ac.pdf"
"41947","APAVE : Echos des CSE - Mars 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/6298b2c508499.pdf"
"41948","APAVE : Infogroupe n°104","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/6298b2c8c59e8.pdf"
"41950","APAVE : Echos des CSE - Mars 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Echos-des-CSE-Mars-2022_page-0001.jpg"
"41961","APAVE : Infogroupe n°104","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/IG-104-Vie-pro-Vie-perso_page-0001.jpg"
"41979","Activités Internationales CGT n°37","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/37_Bulletin_dinformation_de_lEspace_International_Palestine_page-0001.jpg"
"41980","Activités Internationales CGT n°37","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/2316/6299afe20e502.pdf"
"41983","L’écho du Portage n°61","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/echo_portage61.jpg"
"41985","L’écho du Portage n°61","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/6299cf4cb9351.pdf"
"42071","CAPGEMINI : Salaires 2022 => Nos augmentations oubliées (2 juin 2022)","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/629f4343078eb.pdf"
"42075","Le Chiffre Déchaîné n°169","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Chiffre_dechaine_169-site_page-0001.jpg"
"42076","Le Chiffre Déchaîné n°169","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/629f44bfeb6d9.pdf"
"42078","Brochure n°46 : L’attractivité du secteur des ESN","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/577/629f47c6ac856.pdf"
"42080","Brochure n°46 : L’attractivité du secteur des ESN","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Brochure-N°46-LATTRACTIVITE-DU-SECTEUR-DES-ESN-_-SITE_page-0001.jpg"
"42121","Création d’une Intersyndicale regroupant les Délégués Syndicaux d’Onet Technologies TI, CN et ND","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Tract-intersyndicale_page-0001.jpg"
